,sentiment
13926,1
37401,1
43737,0
30779,0
3643,0
9724,1
33614,0
27844,0
34914,1
8501,1
9392,1
3248,1
8913,0
10427,0
27038,1
25237,1
25927,1
38178,0
17180,0
10072,1
32148,1
33136,1
41096,0
11632,0
18044,1
181,0
9206,1
13660,1
49198,0
23923,0
14766,0
1143,1
29225,1
19485,0
44866,1
37958,0
20021,0
38219,1
40063,0
46917,1
24697,0
13645,0
37893,0
30388,1
1008,1
33452,0
37175,1
24362,1
16064,1
8147,0
48371,1
18821,0
40309,1
25098,0
10308,0
41325,1
23587,1
13443,0
46795,0
35823,1
45302,0
20667,1
35110,0
33504,1
37964,1
12736,0
10608,1
21453,1
4285,0
37495,0
41499,1
37440,1
33207,1
1623,1
38430,0
43778,1
8134,0
29537,0
9737,0
17210,0
7609,0
20623,0
31347,1
16467,1
25417,1
26559,0
2877,1
24433,0
43714,1
44228,0
34575,0
40894,1
6110,0
30071,1
4919,1
23602,1
38566,0
38519,0
43735,0
41048,1
10178,1
47491,1
35019,1
3704,0
26848,1
49626,1
22254,0
12838,1
39269,0
31341,0
33036,1
31227,1
2259,0
1335,1
44090,0
12573,1
9232,0
13420,0
26637,0
47827,1
27522,1
2453,0
13999,0
22598,1
42516,1
34071,1
47039,1
37894,1
18326,1
35565,0
18596,0
44018,1
28852,0
5038,1
28822,1
23787,0
46905,0
29223,1
33531,1
19409,1
36193,1
44585,0
29686,0
4400,0
29560,1
42632,0
15998,0
25919,0
38096,1
8672,0
36699,1
46166,1
40051,0
28631,0
3833,0
22019,0
49427,0
10059,1
36529,1
18832,0
47779,1
38746,1
35243,0
35417,1
27945,1
30291,0
1284,0
15532,0
46283,0
26891,0
36066,1
11947,0
18650,1
45147,0
1023,1
17541,0
34366,1
32622,0
34336,1
7275,0
23982,0
44485,1
20807,1
38767,1
46141,1
26625,1
42067,1
6197,0
48227,1
26507,0
15083,1
10890,1
43640,1
4160,1
19469,1
32270,0
37558,1
40988,1
18142,1
45202,1
2633,1
26124,1
32213,1
34405,0
9137,1
31372,0
11900,0
4178,0
44058,1
20924,0
32986,0
550,0
42999,0
41261,0
45854,1
39403,1
47793,0
11463,0
37092,1
20295,1
34463,1
28811,1
29383,0
13424,0
4949,0
18730,0
3316,0
31664,0
37317,0
21579,1
25922,1
41241,1
13462,1
48501,1
43223,1
47155,1
29352,1
6237,0
31908,1
13464,0
3524,0
40671,0
11153,1
48286,0
44601,1
24588,1
42052,1
30094,0
29957,1
41218,0
10343,0
41793,1
41582,0
10842,1
43606,1
3719,1
6355,0
6521,1
9288,0
45561,0
33315,0
18398,0
2284,1
49851,0
34996,0
40965,1
3503,1
12712,0
49874,0
28796,1
35541,1
31609,1
24139,0
41456,1
27572,0
26180,1
10252,1
44408,1
19886,1
34705,0
32331,1
3287,1
8661,0
5394,1
31013,0
10829,1
4159,0
1240,0
38049,0
267,0
46233,0
23454,0
30681,1
48635,0
8091,0
36130,0
12009,1
39991,1
36670,0
7611,0
15215,1
19490,0
6543,1
18397,0
33259,0
6860,0
39945,0
43870,1
21245,1
18911,1
21480,0
27501,0
10250,1
37318,0
31294,0
48037,0
25273,0
38943,0
14065,0
18551,0
29205,0
40793,1
24095,1
9398,1
45519,0
39783,1
36306,0
20248,0
39966,1
46349,1
42238,1
20879,1
9562,1
41720,0
7080,1
15871,1
12335,1
32616,1
36109,1
26610,1
25044,1
11667,0
29518,0
4029,1
16269,1
26759,0
17723,1
48742,0
10999,0
36774,0
42055,1
39221,1
49413,1
17295,1
33670,1
31737,0
16424,1
36726,1
19460,0
49781,0
39931,1
15363,1
10951,0
46802,1
20604,1
21104,1
25013,1
2149,0
16666,1
33565,0
35158,0
17224,1
34751,1
2374,1
29066,1
43247,0
17726,0
2097,0
34435,1
24864,0
45117,1
15975,0
10037,0
4764,0
1410,0
20177,0
19058,0
34220,1
10007,0
16366,0
13511,1
10802,1
45252,0
226,1
32660,1
46343,0
14036,1
5128,0
10337,1
49909,1
21882,1
27163,1
48436,1
8628,0
12896,0
2949,1
1174,1
7901,0
23980,1
44826,1
44161,1
20482,0
2891,1
37874,1
12033,0
47584,0
29653,0
24621,0
32010,1
34472,1
35164,1
49630,1
32258,0
18896,1
21539,0
21441,0
37709,0
48761,0
48209,0
19045,0
43552,0
42199,1
17951,1
6551,1
35402,0
47104,1
49362,0
41731,1
1698,1
19444,1
27271,0
5549,1
26612,1
7656,1
47784,0
49328,1
11487,1
25588,1
48718,1
34150,0
42155,1
35162,0
47371,0
20554,1
12802,0
34279,1
44373,1
25249,0
31638,1
32304,1
27308,1
6036,0
24441,1
1497,1
39193,0
11821,1
27173,0
16156,0
18962,1
25569,1
3282,1
31627,1
39055,1
30506,0
32127,1
19408,0
29185,0
12370,1
38770,1
750,1
41599,1
20516,0
28326,1
19110,0
11297,1
39633,0
24573,1
311,0
21908,0
19587,0
29744,0
4665,1
35750,0
39147,1
22128,0
1696,1
7416,1
12640,1
6865,1
28385,0
19649,1
5053,0
49769,0
23635,0
33249,1
7599,0
43392,1
43456,1
37407,0
41024,1
47278,1
48263,1
11072,0
12169,0
39201,0
8304,0
48481,1
47649,1
2489,1
22070,0
45536,0
15181,0
4593,0
47825,1
14399,0
31833,1
1326,0
28886,0
5756,0
34205,0
36153,0
20723,1
36994,1
3350,0
25393,0
49488,0
20024,1
49725,1
438,1
24876,0
6740,1
15253,0
29977,0
5684,0
42438,0
46100,0
1188,1
9994,0
44370,0
31231,1
41572,0
41159,1
33061,1
43388,1
33376,0
6649,1
46927,0
25932,1
47239,1
21569,1
33865,0
7981,0
9595,0
44735,1
27132,0
47507,0
773,1
46076,1
3394,0
25869,1
45167,0
21565,1
32116,0
38369,0
21115,1
32564,0
10709,1
40748,0
25915,1
11592,1
23815,0
28597,0
15507,1
28891,0
11296,1
5809,1
22792,0
47773,0
31787,0
22014,1
49483,1
48674,0
29707,0
6222,1
43297,0
43999,1
18647,0
1426,0
8101,0
41476,1
2754,1
2617,1
10880,0
12815,0
32765,0
17895,0
36937,0
47654,0
37619,0
1763,0
26653,0
28644,1
1656,1
8202,0
2277,0
49716,1
11247,1
43728,1
23389,0
37128,0
7747,0
4559,0
23643,0
47263,0
33218,1
896,1
37604,1
16530,1
2927,0
47993,0
16591,1
43378,1
6561,0
35922,0
10243,1
42536,1
39548,1
15726,0
32176,1
33310,0
49117,1
6401,1
39704,1
41027,0
33138,1
44169,1
28219,0
37111,0
21396,1
40126,1
34453,1
24056,1
18778,1
26005,1
36028,1
31123,1
4679,0
5771,1
22909,0
38535,0
42407,0
32918,1
180,1
47905,1
21581,1
15938,1
20679,0
10035,0
10423,0
46450,0
8090,1
11751,1
35100,0
21667,1
22095,1
15612,0
13,0
4251,1
8494,0
3674,0
8721,0
13556,0
37676,1
7671,1
29353,0
17080,1
18741,0
21121,0
40855,0
40948,1
47824,1
4496,0
47470,1
5460,1
11789,1
33240,0
11742,1
13552,0
23518,0
13053,1
13814,0
30269,1
38469,1
10077,0
23458,1
23068,0
30637,0
24017,1
38433,0
38820,0
1213,1
19211,1
10329,0
12790,1
29688,1
33869,1
3683,1
30901,0
10237,0
37470,0
15662,1
19166,1
11550,1
10287,1
36474,1
31200,1
39959,1
3914,0
26611,1
33231,1
40141,1
17003,0
41831,1
14045,1
47192,1
23210,1
41782,1
48878,1
39266,0
32124,1
44794,0
44891,1
44997,1
45399,0
45146,0
44336,1
25549,1
22204,1
24567,0
39154,0
48670,0
18388,1
32523,1
11225,0
7020,0
40071,1
3442,0
631,1
26317,0
49898,1
37247,1
20194,0
27568,1
600,1
38876,1
47884,0
9545,0
26012,1
17233,0
44511,1
39581,0
7945,0
45503,0
24352,0
25893,1
20037,1
17712,1
18180,1
31857,1
4219,0
33197,1
919,1
15526,0
12348,0
8854,0
18998,0
9426,1
8943,1
32235,1
35581,0
39117,1
27628,1
39360,1
904,0
17411,1
32071,1
26433,0
42024,0
8957,1
29131,1
44496,0
10538,1
31183,0
3318,1
34638,1
157,1
46258,0
4325,0
18623,1
26951,1
5073,1
596,0
33831,1
8339,0
22081,0
23883,0
5434,0
27646,0
37436,1
16468,0
12923,1
48134,1
10544,1
1478,0
47979,1
22306,1
32497,1
10113,1
12680,0
7707,1
33179,0
22197,1
308,0
39878,1
471,0
41682,1
18335,1
13360,1
42883,1
16614,0
45198,1
24478,0
9240,1
30459,1
37830,0
13480,0
41062,0
15278,0
5082,1
17687,0
36542,1
38416,0
9565,1
9687,0
20258,1
12233,0
28536,1
1270,1
42365,1
32418,0
16224,0
46619,1
14198,1
9806,1
15742,0
48598,0
18056,1
1339,1
48283,0
23931,1
27138,0
16419,0
49257,0
32896,1
14788,1
19260,1
8620,1
23540,0
31886,0
38390,1
40081,0
37832,1
5401,1
47220,0
96,0
37192,0
18004,1
24628,0
4913,0
5628,1
49792,1
43119,1
24055,1
45533,1
14522,0
49288,0
1771,0
34596,1
42945,0
47434,1
34000,0
26656,1
3349,1
42085,0
29088,0
14050,0
37988,1
21582,0
48646,1
43244,0
24482,0
14009,0
1491,1
18805,1
49504,1
3113,0
36708,0
12179,0
27166,0
15232,1
12103,0
49418,0
32468,1
29913,1
6666,1
42851,0
15597,1
44358,1
27595,1
12223,1
39735,0
3835,0
38240,0
23846,0
285,0
17041,0
18575,0
25636,0
33392,1
19660,1
17005,1
447,1
4291,1
17891,0
34151,1
20602,0
28165,0
8246,1
18248,1
15382,1
45527,1
27673,0
10398,1
44067,1
44938,0
21080,1
16707,0
40188,0
34195,1
36795,0
39052,0
4737,1
39398,1
30727,1
7049,0
27975,1
35943,1
204,0
30487,0
18451,0
20731,0
31343,0
9981,1
10277,0
1562,1
41849,1
33628,1
25795,0
20646,0
21701,1
38696,0
1968,1
35756,0
7350,0
34688,0
24768,0
8410,0
30427,1
11187,0
38021,1
14763,1
38684,1
21816,1
47820,0
14354,0
14200,1
6042,1
42323,0
21974,0
3922,1
44566,0
25880,1
22336,1
30357,0
17185,0
33694,0
4149,1
32846,1
21937,0
86,0
37413,1
35887,0
5273,1
9633,1
41868,0
23835,1
21707,1
20356,1
45040,0
16657,0
14608,1
33080,1
25263,1
45466,0
34211,0
32488,0
6690,1
49132,1
27800,1
2715,1
11309,1
44044,0
42979,1
32067,1
46812,1
23933,1
32740,0
26977,0
37482,1
39923,0
15538,1
41363,0
11834,1
44916,1
15484,0
41469,0
15760,0
15028,0
464,0
9087,0
3622,0
24488,0
22136,0
17933,0
47568,1
41670,1
20031,1
25456,0
9572,0
24582,0
23998,0
8765,1
44854,1
3200,1
37522,0
40914,1
5014,1
21454,1
30588,1
39630,1
30167,0
26522,0
26647,1
46515,0
33580,1
44084,1
46841,1
39103,1
37780,0
9172,1
29773,1
28711,0
47436,1
28450,1
32388,1
31851,0
26782,0
19828,1
12248,0
42347,1
6118,0
49746,1
47953,1
28387,1
3876,1
48290,1
24385,1
1303,0
46522,1
40057,1
46627,1
2650,0
47759,1
25828,0
6686,1
40625,0
6346,0
33023,0
47139,0
27639,1
3441,1
40079,1
33530,0
27837,0
14981,0
35319,0
45387,1
24057,1
17904,1
30407,0
2133,1
13758,0
10333,0
14857,0
5117,0
41436,1
41794,0
18153,1
29421,1
4990,0
6146,0
18191,0
15551,0
28915,1
31196,1
32811,0
39171,1
42304,1
20230,0
29462,0
2258,1
15125,0
33360,0
48554,0
4420,1
25769,1
48049,1
28235,1
31701,1
20972,0
48975,0
18666,1
2052,0
45321,0
15093,0
263,0
26927,0
45066,0
46858,0
28665,0
12792,0
21289,1
1194,1
45404,1
49643,0
3177,1
34278,1
26100,0
13004,1
1817,1
37113,1
38942,1
19316,0
24308,0
8902,0
33991,1
40518,0
38023,0
15165,1
31550,1
38949,1
18367,1
44513,1
15845,1
34204,1
38438,1
18138,1
3886,1
25648,0
494,1
41255,0
44570,1
44746,1
44497,1
46971,1
34538,0
36470,0
1274,0
20430,1
46255,0
11986,1
38766,1
42236,0
21273,1
26103,1
45569,0
42099,1
23974,1
4439,1
28111,1
41761,1
7908,0
25026,0
8268,0
810,0
41543,0
9294,1
2308,1
30993,0
10781,1
26901,0
19273,1
5218,0
10646,1
517,1
5795,1
24720,0
30853,1
6482,1
11118,1
14095,0
24870,1
24076,1
14090,1
14311,0
34187,1
5388,1
48152,0
48966,1
17496,1
2898,1
10610,0
46773,1
30937,0
38030,0
14872,0
27346,0
35749,1
48744,0
40659,1
3615,1
28819,0
27372,1
35671,1
42400,1
44214,1
4185,1
9037,1
34421,1
5489,1
12492,0
8124,0
43228,0
37155,0
23109,1
27118,0
43508,1
48196,0
35086,0
20218,1
4540,0
11583,0
17155,0
30797,1
45372,0
44630,1
48854,0
18817,0
35911,0
20237,0
42836,0
4939,1
5189,1
35707,1
16814,0
5989,1
38558,0
47042,1
31327,1
45935,1
8341,1
33833,1
42083,1
21963,1
26640,1
6070,1
25584,1
28348,0
36138,1
3500,0
7164,1
23200,0
17725,1
35925,0
11713,1
27519,0
47661,0
30210,0
23818,0
45831,0
23280,0
509,1
4416,0
16270,1
30410,0
16290,1
107,0
28485,0
13858,0
34259,0
966,0
16106,1
31146,1
21417,1
17002,0
44375,0
46610,0
38836,0
30773,0
4608,0
44260,0
2548,1
17537,0
39847,1
30052,1
29193,1
29073,1
18906,0
25777,1
41741,0
11242,1
1516,0
47585,0
1463,1
33242,0
11031,0
29105,1
39325,1
18885,0
43788,1
5941,1
44749,1
27776,0
23568,0
38453,0
377,0
5652,1
23571,0
5298,0
35229,1
42486,0
20433,0
14143,1
12004,1
25803,1
47300,1
2867,1
40004,0
27804,1
31557,1
32460,1
10385,0
26961,0
18352,1
25478,1
15081,0
34895,0
44731,1
15771,0
28443,1
37100,0
21450,1
49134,0
14576,0
46216,0
9298,1
6112,0
42446,1
8372,1
47325,1
46340,1
30311,0
41414,1
41531,1
10930,0
12472,1
46842,0
16541,0
48305,0
8357,0
1179,0
18948,0
29360,1
1801,1
20485,1
42680,0
37227,1
31233,0
19780,0
17354,1
46023,1
16841,0
42748,1
22390,0
19813,1
14880,1
33075,0
2043,0
42923,0
49502,0
39426,0
12597,1
42394,0
26764,1
40919,0
45953,1
30876,0
47743,1
29274,1
2858,0
40621,1
9739,1
13755,0
12668,0
28007,0
18868,0
16670,1
1346,1
43232,0
27023,1
9377,0
3102,0
5613,0
1427,0
23037,0
29159,1
49552,1
44069,1
16742,1
14558,1
33889,1
18273,1
32025,0
20318,0
9842,0
12151,0
31993,0
45180,0
22719,1
13557,1
6136,1
48215,0
5288,0
46935,0
27443,0
21203,0
14014,0
32342,0
7653,0
37575,1
10772,0
23700,1
23665,1
7900,1
17894,0
43065,1
22910,0
49811,1
41998,1
25066,1
31716,1
45600,0
2935,1
16584,1
2232,0
3592,0
42985,1
36155,0
47066,0
38474,1
46637,0
35025,1
4216,0
20814,0
8508,1
30144,1
7279,0
31211,1
45193,0
43540,1
34182,1
43808,1
33601,0
30265,0
21327,1
1332,0
22872,0
15159,0
46012,1
278,0
6646,1
26413,1
13902,1
6352,0
23335,0
49537,0
37824,1
6275,0
15599,1
22646,1
374,1
27791,1
2087,1
38500,0
9440,1
16348,0
20820,1
25049,1
19079,0
14348,0
45239,1
4900,0
6514,1
26885,0
38585,0
1146,1
12959,0
30287,1
40759,0
12990,1
46398,1
24534,1
15017,1
49529,1
44835,1
27833,1
45036,1
45168,1
17598,1
10368,0
47655,1
10700,0
49323,1
34047,0
29367,1
7281,1
39355,1
5137,0
396,0
20026,1
26032,1
45065,0
39507,1
12623,1
19175,1
49820,0
13391,0
4148,0
32710,0
41031,0
13206,1
47294,0
37989,0
19711,0
37293,0
43124,1
45924,0
13800,0
24349,1
29514,1
36556,0
27774,1
11778,1
35082,0
398,0
7567,1
14501,0
27344,1
23030,1
46068,1
49262,1
35331,1
46846,0
4214,0
5183,1
15607,1
44776,0
13058,0
34282,0
19609,1
15699,1
49100,0
37681,1
6987,0
22698,1
5500,0
4815,0
47631,1
43042,0
4571,0
22451,0
25285,0
4183,1
42829,0
3602,0
566,1
10962,0
23868,1
48977,1
47460,0
45712,1
18709,0
10575,0
6247,0
43046,0
15725,0
47336,0
34128,0
45155,1
32892,1
7605,1
6024,0
28659,1
23757,0
32744,1
25314,0
42798,1
1638,0
38834,0
19832,1
46070,0
17317,1
8993,1
41593,1
25272,0
3388,1
31579,0
47883,1
29456,0
9548,0
20196,1
38522,1
8686,0
30012,1
43588,1
36372,1
19730,0
34424,1
41373,0
24731,0
20552,1
8768,0
40618,0
46285,1
29494,1
30395,0
19926,1
4048,0
22613,1
30426,1
25943,1
42245,1
40448,1
31810,1
5764,0
5815,1
30047,0
7236,1
23038,1
41788,1
46409,1
15936,1
38935,0
9103,0
14302,1
26976,1
2679,1
13608,1
48691,1
7375,0
36889,1
2505,1
38283,0
21926,0
49395,0
23045,1
43895,0
15962,0
35878,0
19568,1
2714,1
15561,1
9697,1
28989,1
4770,0
9535,0
42244,1
37281,0
45747,1
22334,0
19664,0
15249,0
36226,0
17016,0
34125,1
31583,1
6375,1
43478,0
25202,1
15815,1
26770,1
16854,0
36261,0
437,1
30223,1
7315,0
4928,0
24681,1
16933,0
5242,1
4471,0
19600,0
8047,1
28456,0
14299,0
31963,0
40464,1
13066,0
38881,0
17831,1
29106,1
47857,1
4235,1
44792,1
38704,1
8723,1
29117,0
20763,1
17510,1
33855,1
27239,1
9409,0
14521,1
20795,0
43578,1
37703,0
23658,1
37354,0
40519,1
24528,1
5826,1
9619,1
35905,1
34952,0
27902,0
17756,1
30880,1
22865,0
14206,0
34771,1
36434,0
49090,0
17255,0
11671,0
42572,1
46688,1
42310,1
29132,1
9048,1
2622,1
6334,1
25863,0
44212,0
45327,0
32433,1
41787,0
32871,1
17396,1
7573,0
47291,0
16612,0
24800,1
23637,1
7829,1
17836,1
8708,0
3108,1
1416,1
31769,1
15102,1
21704,0
31068,1
3495,0
37363,1
37248,1
30814,1
35106,1
14898,0
16721,1
39445,1
16701,1
17731,1
31506,1
15135,0
14658,0
37294,0
24135,0
34106,0
45763,0
40431,1
29616,0
48602,1
18136,1
46641,1
28078,1
49765,0
30840,1
22858,1
2496,1
43264,1
38609,0
15388,1
11115,0
33098,1
10484,1
44852,1
47335,1
13595,0
32636,1
5775,1
41700,0
46642,0
29498,0
44762,1
14934,1
45956,0
5148,1
40380,0
34050,0
6549,1
46891,1
47963,1
48993,0
9658,1
10994,1
34655,0
28738,0
12307,0
49978,1
30465,0
25303,0
42046,1
1109,1
48226,1
42034,0
6010,1
29237,0
7555,0
47956,0
20397,0
9299,1
353,1
1133,1
45724,1
44380,1
32000,0
10944,0
22513,1
13983,1
3011,0
43600,0
42879,0
9229,0
32062,1
38715,0
18391,0
40713,1
39585,0
44506,1
29330,0
7640,1
12267,0
44040,1
18724,0
38357,1
40538,0
10044,0
2825,0
36328,0
26166,1
4032,0
15824,1
48013,0
2713,0
40692,1
13561,1
13151,1
34090,1
15465,0
17136,0
24632,1
25418,0
45604,0
2856,0
10085,0
5536,1
22566,1
48991,0
4077,0
18427,0
5981,1
49352,0
42776,1
9035,1
25672,1
31408,0
48741,1
11272,1
29008,1
42130,0
479,1
16214,0
36552,0
31842,0
30187,1
266,0
46779,0
28667,1
1090,1
44557,0
42739,0
39525,1
18342,1
42076,1
30578,1
3193,0
35963,0
30910,0
47877,1
2337,1
1197,1
46675,1
7778,1
9871,0
29595,1
30122,0
5134,1
14115,1
39949,0
20649,1
3007,0
38420,1
9568,0
10029,0
28825,1
16981,0
21022,1
30550,0
8934,1
42574,1
24316,1
24841,0
10568,1
26338,0
46412,0
40090,1
5510,0
34869,0
6339,0
43445,0
48298,0
48103,0
24646,1
6246,0
36772,1
2220,0
34104,0
33605,0
3930,0
22652,0
27359,1
7030,1
49136,0
774,0
573,0
44345,0
44088,0
1465,0
6167,1
3367,0
15307,1
3438,1
7492,0
24432,1
40725,0
36954,0
23146,1
10221,1
27789,0
38748,0
38673,0
48914,0
19085,1
43688,1
9771,0
34737,0
30390,1
6797,1
37270,1
27434,0
13400,0
883,0
7303,0
45124,1
874,1
45943,0
11458,0
23877,1
11,0
27813,0
10713,0
46014,0
3645,0
10448,1
41968,0
3813,1
4523,1
7231,1
39423,0
46647,1
12547,1
10917,0
16904,0
39863,0
24728,1
12695,1
36114,0
29694,1
7528,0
28808,0
4756,1
30432,1
1108,0
11090,0
42876,0
28136,1
19860,0
8054,1
5886,0
44551,0
3542,1
8359,0
15074,1
40589,0
19528,1
2333,1
37768,0
37791,0
22894,1
11790,0
43628,1
47118,0
17703,0
14474,1
22427,0
28883,0
5785,1
27395,1
5883,1
37911,0
7002,0
8801,1
39803,0
46757,1
34684,0
17117,1
31532,0
268,0
3142,1
4800,0
35868,1
7422,0
21413,1
4396,1
2156,1
28372,0
32050,0
1441,1
25015,1
25072,1
27121,0
49882,1
19546,0
35893,0
13905,1
32947,0
15558,0
6527,1
49722,1
17487,0
37634,1
16966,1
12858,1
48444,0
11146,1
24050,1
1496,1
733,1
44488,1
11903,1
11129,0
16794,0
33663,1
21063,0
2330,0
6328,0
48537,0
36840,1
2072,0
35883,1
19959,1
38707,1
23633,1
3219,0
28910,0
23847,1
45261,0
24888,0
4040,1
27396,0
26244,1
10410,0
41277,1
26419,0
444,0
32613,1
11250,1
39232,1
40248,0
39372,1
13573,1
26815,0
48420,0
25217,1
1336,0
6564,0
4957,0
48693,1
3973,0
16109,1
22323,0
5964,0
31092,1
34344,1
18925,0
28612,0
21222,0
6991,0
29938,0
43704,1
1474,1
48990,1
24645,0
8857,1
10877,0
1553,0
37578,1
12689,0
25617,0
41109,0
31132,0
48803,0
6043,1
43547,1
28912,1
44032,1
52,1
37954,0
274,0
12231,0
13721,1
47340,1
8490,1
43142,0
25219,1
38951,0
21567,1
2119,1
47553,1
23725,1
25603,1
36283,0
21197,0
30433,0
34155,1
10454,1
15621,1
34509,1
17987,0
24597,1
5030,0
34548,0
14159,1
6363,0
40768,0
20643,0
15423,0
49039,0
21189,0
15080,1
15811,1
30748,1
36991,0
41059,0
39689,1
30315,0
31041,0
27317,0
13643,0
452,0
36293,1
33102,0
32416,0
11206,1
11269,1
41775,1
29919,0
29748,0
11690,1
28356,0
12428,0
40272,1
12154,1
17248,1
15010,0
1878,1
33962,1
22497,1
46347,0
23890,1
29745,1
8476,1
44992,1
47798,0
31053,1
42391,0
6465,1
18527,0
41812,1
20779,0
17697,1
2532,0
43165,1
22147,0
35189,1
20347,0
13254,0
17162,1
48079,0
23876,0
33803,0
40092,1
12096,0
16201,1
39406,1
9588,0
37987,0
43143,0
44911,1
23,0
39212,0
41018,1
22083,0
30271,1
17247,1
9132,1
36928,1
2807,0
32837,1
7328,0
13941,1
49491,0
26524,1
17612,0
35054,0
6875,0
6134,0
5944,1
9527,0
40132,1
38074,1
19966,0
27189,0
6216,0
41358,1
7654,1
6442,0
4508,0
23344,1
3600,0
14976,1
41805,0
35921,0
16822,1
6176,1
12986,0
27471,1
4738,0
1512,0
12843,1
9810,1
42421,0
9761,1
31434,0
34916,1
25983,0
19295,0
19670,0
960,1
19217,1
